ejercicio,musculo,source,matched_catalog_ids,reason
"Postura relajada de espalda","n u l l","lyfta","00002475","lyfta_entry_without_local_image"
"Postura relajada frontal","n u l l","lyfta","00002476","lyfta_entry_without_local_image"
"mÃºsculos del cuerpo","Full body","lyfta","00002634|00004391","lyfta_entry_without_local_image"
"Por PARTES DEL CUERPO Cuerpo musculoso masculino","Full body","lyfta","00002646","lyfta_entry_without_local_image"
"Por PARTES DEL CUERPO Cuerpo musculoso femenino","Full body","lyfta","00002647","lyfta_entry_without_local_image"
"Por PRINCIPALES GRUPOS MUSCULARES Cuerpo muscular masculino","Full body","lyfta","00002655","lyfta_entry_without_local_image"
"Por PRINCIPALES GRUPOS MUSCULARES Cuerpo musculoso femenino","Full body","lyfta","00002656","lyfta_entry_without_local_image"
"Postura de flexiÃ³n","Chest","lyfta","00003055","lyfta_entry_without_local_image"
"Abductor largo del pulgar","Forearms","lyfta","00003264","lyfta_entry_without_local_image"
"Aductor corto","Hips","lyfta","00003265","lyfta_entry_without_local_image"
"Aductor largo","Hips","lyfta","00003266","lyfta_entry_without_local_image"
"Aductor mayor","Hips","lyfta","00003267","lyfta_entry_without_local_image"
"BÃ­ceps braquial","Biceps Upper Arms","lyfta","00003268","lyfta_entry_without_local_image"
"BÃ­ceps femoral Cabeza larga","Thighs","lyfta","00003269","lyfta_entry_without_local_image"
"BÃ­ceps femoral Cabeza corta","Thighs","lyfta","00003270","lyfta_entry_without_local_image"
"braquial","Upper Arms","lyfta","00003271","lyfta_entry_without_local_image"
"braquiorradial","Forearms","lyfta","00003272","lyfta_entry_without_local_image"
"Deltoides","Shoulders","lyfta","00003273","lyfta_entry_without_local_image"
"extensor cubital del carpo","Forearms","lyfta","00003274","lyfta_entry_without_local_image"
"Extensor de dedos mÃ­nimos","Forearms","lyfta","00003275","lyfta_entry_without_local_image"
"Extensor largo de los dedos","Calves","lyfta","00003276","lyfta_entry_without_local_image"
"extensor de los dedos","Forearms","lyfta","00003277","lyfta_entry_without_local_image"
"Extensor corto del pulgar","Forearms","lyfta","00003278","lyfta_entry_without_local_image"
"Flexor radial del carpo","Forearms","lyfta","00003279","lyfta_entry_without_local_image"
"Flexor cubital del carpo","Forearms","lyfta","00003280","lyfta_entry_without_local_image"
"Flexor superficial de los dedos","Forearms","lyfta","00003281","lyfta_entry_without_local_image"
"Flexor largo del pulgar","Forearms","lyfta","00003282","lyfta_entry_without_local_image"
"gastrocnemio","Calves","lyfta","00003283","lyfta_entry_without_local_image"
"Interior de Gemelio","Hips","lyfta","00003284","lyfta_entry_without_local_image"
"Gemelio superior","Hips","lyfta","00003285","lyfta_entry_without_local_image"
"GlÃºteo mayor","Hips","lyfta","00003286","lyfta_entry_without_local_image"
"GlÃºteo medio","Hips","lyfta","00003287","lyfta_entry_without_local_image"
"glÃºteo menor","Hips","lyfta","00003288","lyfta_entry_without_local_image"
"Gracilis","Thighs","lyfta","00003289","lyfta_entry_without_local_image"
"Isquiotibiales","Hamstrings Thighs","lyfta","00003290","lyfta_entry_without_local_image"
"IlÃ­aco","Hips","lyfta","00003291","lyfta_entry_without_local_image"
"iliocostal","Back","lyfta","00003292","lyfta_entry_without_local_image"
"Infraespinoso","Back","lyfta","00003293","lyfta_entry_without_local_image"
"Dorso ancho","Back","lyfta","00003294","lyfta_entry_without_local_image"
"elevador de la escÃ¡pula","Back","lyfta","00003295","lyfta_entry_without_local_image"
"LongÃ­simo","Back","lyfta","00003296","lyfta_entry_without_local_image"
"Oblicuo","Waist","lyfta","00003297","lyfta_entry_without_local_image"
"Obturador interno","Hips","lyfta","00003298","lyfta_entry_without_local_image"
"omohioideo","Neck","lyfta","00003299","lyfta_entry_without_local_image"
"palmar largo","Forearms","lyfta","00003300","lyfta_entry_without_local_image"
"pectÃ­neo","Hips","lyfta","00003301","lyfta_entry_without_local_image"
"Pectoral mayor calvicular","Chest","lyfta","00003302","lyfta_entry_without_local_image"
"Pectoral mayor","Chest","lyfta","00003303","lyfta_entry_without_local_image"
"Pectoral mayor Cabeza esternal","Chest","lyfta","00003304","lyfta_entry_without_local_image"
"Pectoral menor","Chest","lyfta","00003305","lyfta_entry_without_local_image"
"peroneo breve","Calves","lyfta","00003306","lyfta_entry_without_local_image"
"peroneo largo","Calves","lyfta","00003307","lyfta_entry_without_local_image"
"piriforme","Hips","lyfta","00003308","lyfta_entry_without_local_image"
"Pronador cuadrado","Forearms","lyfta","00003309","lyfta_entry_without_local_image"
"pronador redondo","Forearms","lyfta","00003310","lyfta_entry_without_local_image"
"psoas mayor","Hips","lyfta","00003311","lyfta_entry_without_local_image"
"Cuadrado femoral","Hips","lyfta","00003312","lyfta_entry_without_local_image"
"CuadrÃ­ceps","Thighs","lyfta","00003313","lyfta_entry_without_local_image"
"Recto abdominal","Waist","lyfta","00003314","lyfta_entry_without_local_image"
"recto femoral","Thighs","lyfta","00003315","lyfta_entry_without_local_image"
"romboide mayor","Back","lyfta","00003316","lyfta_entry_without_local_image"
"Romboidal","Back","lyfta","00003317","lyfta_entry_without_local_image"
"romboide menor","Back","lyfta","00003318","lyfta_entry_without_local_image"
"Sartorio","Thighs","lyfta","00003319","lyfta_entry_without_local_image"
"semimembranoso","Thighs","lyfta","00003320","lyfta_entry_without_local_image"
"Semiespinal de la cabeza","Back","lyfta","00003321","lyfta_entry_without_local_image"
"semitendinoso","Thighs","lyfta","00003322","lyfta_entry_without_local_image"
"serrato anterior","Chest","lyfta","00003323","lyfta_entry_without_local_image"
"Serrato posterior","Back","lyfta","00003324","lyfta_entry_without_local_image"
"SÃ³leo","Calves","lyfta","00003325","lyfta_entry_without_local_image"
"esplenio de la cabeza","Back","lyfta","00003326","lyfta_entry_without_local_image"
"esternocleidomastoideo","Neck","lyfta","00003327","lyfta_entry_without_local_image"
"esternohioideo","Neck","lyfta","00003328","lyfta_entry_without_local_image"
"supraespinoso","Shoulders","lyfta","00003329","lyfta_entry_without_local_image"
"Tensor de la fascia lata","Hips","lyfta","00003330","lyfta_entry_without_local_image"
"Teres Mayor","Back","lyfta","00003331","lyfta_entry_without_local_image"
"Teres Menor","Back","lyfta","00003332","lyfta_entry_without_local_image"
"Tibial anterior","Calves","lyfta","00003333","lyfta_entry_without_local_image"
"tibial posterior","Calves","lyfta","00003334","lyfta_entry_without_local_image"
"trapecio","Back","lyfta","00003335","lyfta_entry_without_local_image"
"TrÃ­ceps braquial Cabeza lateral","Triceps Upper Arms","lyfta","00003336","lyfta_entry_without_local_image"
"TrÃ­ceps braquial Cabeza larga","Triceps Upper Arms","lyfta","00003337","lyfta_entry_without_local_image"
"TrÃ­ceps braquial","Triceps Upper Arms","lyfta","00003338","lyfta_entry_without_local_image"
"TrÃ­ceps braquial Cabeza medial","Triceps Upper Arms","lyfta","00003339","lyfta_entry_without_local_image"
"Vasto lateral","Thighs","lyfta","00003340","lyfta_entry_without_local_image"
"Vasto medial","Thighs","lyfta","00003341","lyfta_entry_without_local_image"
"secuestradores","Hips","lyfta","00003343","lyfta_entry_without_local_image"
"Diafragma","Waist","lyfta","00003344","lyfta_entry_without_local_image"
"Erector de la columna","Back","lyfta","00003345","lyfta_entry_without_local_image"
"Flexores de cadera","Hips","lyfta","00003346","lyfta_entry_without_local_image"
"Intercostal","Chest","lyfta","00003347","lyfta_entry_without_local_image"
"oblicuos internos","Waist","lyfta","00003348","lyfta_entry_without_local_image"
"multÃ­fido","Back","lyfta","00003349","lyfta_entry_without_local_image"
"psoas menor","Hips","lyfta","00003350","lyfta_entry_without_local_image"
"Cuadrado lumbar","Hips","lyfta","00003351","lyfta_entry_without_local_image"
"Manguito rotador","Shoulders","lyfta","00003352","lyfta_entry_without_local_image"
"espinal","Back","lyfta","00003353","lyfta_entry_without_local_image"
"subescapular","Shoulders","lyfta","00003354","lyfta_entry_without_local_image"
"transverso del abdomen","Waist","lyfta","00003355","lyfta_entry_without_local_image"
"vasto intermedio","Thighs","lyfta","00003356","lyfta_entry_without_local_image"
"MediciÃ³n","n u l l","lyfta","00003434|00003435","lyfta_entry_without_local_image"
"Peso muerto - Postura inicial","Hips","lyfta","00004409","lyfta_entry_without_local_image"
