id,name,body_part,page,image_url
00002475,"Postura relajada de espalda","n u l l",202,""
00002476,"Postura relajada frontal","n u l l",202,""
00002634,"mÃºsculos del cuerpo","Full body",204,""
00002646,"Por PARTES DEL CUERPO Cuerpo musculoso masculino","Full body",204,""
00002647,"Por PARTES DEL CUERPO Cuerpo musculoso femenino","Full body",204,""
00002655,"Por PRINCIPALES GRUPOS MUSCULARES Cuerpo muscular masculino","Full body",204,""
00002656,"Por PRINCIPALES GRUPOS MUSCULARES Cuerpo musculoso femenino","Full body",204,""
00003055,"Postura de flexiÃ³n","Chest",168,""
00003264,"Abductor largo del pulgar","Forearms",127,""
00003265,"Aductor corto","Hips",185,""
00003266,"Aductor largo","Hips",185,""
00003267,"Aductor mayor","Hips",185,""
00003268,"BÃ­ceps braquial","Biceps Upper Arms",135,""
00003269,"BÃ­ceps femoral Cabeza larga","Thighs",210,""
00003270,"BÃ­ceps femoral Cabeza corta","Thighs",210,""
00003271,"braquial","Upper Arms",185,""
00003272,"braquiorradial","Forearms",100,""
00003273,"Deltoides","Shoulders",114,""
00003274,"extensor cubital del carpo","Forearms",120,""
00003275,"Extensor de dedos mÃ­nimos","Forearms",127,""
00003276,"Extensor largo de los dedos","Calves",210,""
00003277,"extensor de los dedos","Forearms",127,""
00003278,"Extensor corto del pulgar","Forearms",145,""
00003279,"Flexor radial del carpo","Forearms",145,""
00003280,"Flexor cubital del carpo","Forearms",145,""
00003281,"Flexor superficial de los dedos","Forearms",145,""
00003282,"Flexor largo del pulgar","Forearms",145,""
00003283,"gastrocnemio","Calves",185,""
00003284,"Interior de Gemelio","Hips",156,""
00003285,"Gemelio superior","Hips",210,""
00003286,"GlÃºteo mayor","Hips",135,""
00003287,"GlÃºteo medio","Hips",185,""
00003288,"glÃºteo menor","Hips",185,""
00003289,"Gracilis","Thighs",210,""
00003290,"Isquiotibiales","Hamstrings Thighs",114,""
00003291,"IlÃ­aco","Hips",210,""
00003292,"iliocostal","Back",210,""
00003293,"Infraespinoso","Back",210,""
00003294,"Dorso ancho","Back",104,""
00003295,"elevador de la escÃ¡pula","Back",210,""
00003296,"LongÃ­simo","Back",210,""
00003297,"Oblicuo","Waist",135,""
00003298,"Obturador interno","Hips",211,""
00003299,"omohioideo","Neck",169,""
00003300,"palmar largo","Forearms",145,""
00003301,"pectÃ­neo","Hips",211,""
00003302,"Pectoral mayor calvicular","Chest",169,""
00003303,"Pectoral mayor","Chest",127,""
00003304,"Pectoral mayor Cabeza esternal","Chest",169,""
00003305,"Pectoral menor","Chest",169,""
00003306,"peroneo breve","Calves",211,""
00003307,"peroneo largo","Calves",211,""
00003308,"piriforme","Hips",211,""
00003309,"Pronador cuadrado","Forearms",120,""
00003310,"pronador redondo","Forearms",146,""
00003311,"psoas mayor","Hips",211,""
00003312,"Cuadrado femoral","Hips",211,""
00003313,"CuadrÃ­ceps","Thighs",169,""
00003314,"Recto abdominal","Waist",64,""
00003315,"recto femoral","Thighs",211,""
00003316,"romboide mayor","Back",211,""
